Date,Open*,High,Low,Close**,Volume,Market Cap
"Jun 12, 2018",95.08,95.42,85.53,86.65,"4,285,480","619,191,486"
"Jun 11, 2018",93.01,96.33,92.34,95.46,"4,334,400","682,111,181"
"Jun 10, 2018",103.95,103.95,92.49,93.22,"5,201,470","666,124,010"
"Jun 09, 2018",108.64,109.84,103.6,103.6,"5,285,790","740,270,383"
"Jun 08, 2018",106.83,108.98,102.06,108.76,"5,550,290","777,185,290"
"Jun 07, 2018",100.72,107.8,98.94,107.24,"4,549,470","766,302,324"
"Jun 06, 2018",101.02,102.12,97.48,100.59,"3,170,820","718,811,717"
"Jun 05, 2018",100.09,102.35,94.86,101.15,"3,084,330","722,770,458"
"Jun 04, 2018",99.19,101.23,93.64,100,"4,117,270","714,564,287"
"Jun 03, 2018",102.31,102.44,97.94,98.85,"4,221,290","706,325,245"
"Jun 02, 2018",96.4,104.07,96.26,102.47,"3,050,550","732,195,693"
"Jun 01, 2018",93.75,98.31,93.05,96.26,"2,672,030","687,878,510"
"May 31, 2018",90.18,93.93,89.09,93.65,"3,222,580","669,205,255"
"May 30, 2018",93.74,93.93,88.28,90.13,"3,206,320","644,011,509"
"May 29, 2018",89.93,95.61,85.79,93.55,"6,600,080","668,509,974"
"May 28, 2018",91.79,93.67,85.6,89.79,"3,920,820","641,585,529"
"May 27, 2018",92.16,96.96,86.46,91.93,"5,093,040","656,939,587"
"May 26, 2018",100.64,102.26,91.82,92.26,"4,060,300","659,269,099"
"May 25, 2018",103.29,105.19,98.1,101.47,"5,131,480","725,057,096"
"May 24, 2018",103.42,109.46,97.39,103.18,"7,055,820","737,269,171"
"May 23, 2018",109.62,113.51,101.8,103.52,"10,281,200","739,720,160"
"May 22, 2018",116.78,116.78,108.68,109.88,"5,143,210","785,152,794"
"May 21, 2018",110.81,118.88,108.35,116.79,"11,280,600","834,587,043"
"May 20, 2018",107.61,117.93,105.95,111.22,"13,466,200","794,728,089"
"May 19, 2018",104.65,109.32,102.88,107.65,"11,722,300","769,217,787"
"May 18, 2018",93.4,106.77,89.09,104.9,"12,290,000","749,559,848"
"May 17, 2018",92.71,99.46,92.71,93.6,"9,767,830","668,869,405"
"May 16, 2018",97.29,97.29,87.81,92.54,"9,704,700","661,247,041"
"May 15, 2018",100.53,101.88,95.12,97.32,"9,340,530","695,443,708"
"May 14, 2018",92.4,102.28,87.7,102.28,"9,119,440","730,838,002"
"May 13, 2018",85.48,92.72,83.54,91.1,"6,970,770","650,962,173"
"May 12, 2018",85.95,88.2,81.27,85.41,"6,985,510","610,315,758"
"May 11, 2018",87.09,95.41,79.99,86.49,"14,360,400","618,003,149"
"May 10, 2018",85.01,89.81,84.3,86.9,"4,603,580","620,984,352"
"May 09, 2018",85.52,87.53,82.11,85.22,"6,578,610","608,975,931"
"May 08, 2018",87.96,88.07,83.99,85.58,"4,103,950","611,546,255"
"May 07, 2018",86.03,90.38,83.05,87.94,"7,889,200","628,415,925"
"May 06, 2018",87.26,88.28,82.24,86,"4,756,920","614,567,475"
