"Date","Open.","High","Low","Close..","Volume","Market.Cap","project","daychange","daychange_per","date"
"Aug 01, 2018",0.435562,0.459134,0.427168,0.445852,"323,200,000","17,528,976,109","Ripple",-0.01029,-2.36246504516005,2018-08-01
"Jul 31, 2018",0.445892,0.446124,0.427753,0.435225,"228,767,000","17,111,168,341","Ripple",0.010667,2.39228333318383,2018-07-31
"Jul 30, 2018",0.453469,0.454549,0.436964,0.446107,"247,714,000","17,539,001,608","Ripple",0.00736200000000004,1.62348473655311,2018-07-30
"Jul 29, 2018",0.456606,0.45714,0.450249,0.453306,"191,966,000","17,822,035,214","Ripple",0.00330000000000003,0.722723748702388,2018-07-29
"Jul 28, 2018",0.454599,0.45617,0.449695,0.453667,"157,346,000","17,836,228,176","Ripple",0.000931999999999988,0.20501584913297,2018-07-28
"Jul 27, 2018",0.449623,0.459486,0.445224,0.453635,"203,720,992","17,834,970,074","Ripple",-0.00401200000000002,-0.892303107269872,2018-07-27
"Jul 26, 2018",0.459447,0.466983,0.446849,0.44992,"199,587,008","17,688,912,310","Ripple",0.00952700000000001,2.07357976001585,2018-07-26
"Jul 25, 2018",0.455842,0.465526,0.450719,0.459829,"255,872,000","18,078,491,417","Ripple",-0.00398699999999996,-0.874645162139505,2018-07-25
"Jul 24, 2018",0.445559,0.466819,0.438565,0.457623,"319,956,000","17,991,761,019","Ripple",-0.012064,-2.70760999104496,2018-07-24
"Jul 23, 2018",0.449121,0.461783,0.444498,0.445276,"194,542,000","17,506,330,276","Ripple",0.00384499999999999,0.856116725782136,2018-07-23
"Jul 22, 2018",0.455002,0.460989,0.44914,0.449311,"158,906,000","17,664,969,058","Ripple",0.005691,1.25076373290667,2018-07-22
"Jul 21, 2018",0.446219,0.458755,0.438318,0.45541,"180,339,008","17,904,755,412","Ripple",-0.009191,-2.05975092947633,2018-07-21
"Jul 20, 2018",0.476485,0.476485,0.436483,0.446994,"295,403,008","17,573,874,620","Ripple",0.029491,6.18928192912683,2018-07-20
"Jul 19, 2018",0.487577,0.491237,0.471724,0.476433,"293,942,016","18,731,289,026","Ripple",0.011144,2.2855877122998,2018-07-19
"Jul 18, 2018",0.505118,0.51956,0.477234,0.486389,"367,988,992","19,096,821,224","Ripple",0.0187289999999999,3.70784648339595,2018-07-18
"Jul 17, 2018",0.481301,0.516604,0.470048,0.505587,"347,700,000","19,850,581,637","Ripple",-0.024286,-5.0459068233808,2018-07-17
"Jul 16, 2018",0.446413,0.483401,0.444505,0.483401,"269,283,008","18,979,505,039","Ripple",-0.036988,-8.28560100176295,2018-07-16
"Jul 15, 2018",0.439095,0.448987,0.437194,0.445894,"152,903,008","17,506,888,525","Ripple",-0.006799,-1.54841207483574,2018-07-15
"Jul 14, 2018",0.438561,0.441646,0.433895,0.439271,"134,840,992","17,246,853,353","Ripple",-0.000710000000000044,-0.161893100389694,2018-07-14
"Jul 13, 2018",0.436514,0.444508,0.434805,0.438741,"179,403,008","17,226,044,258","Ripple",-0.00222699999999998,-0.510178367704124,2018-07-13
"Jul 12, 2018",0.449882,0.449972,0.428033,0.435364,"182,139,008","17,093,454,982","Ripple",0.014518,3.22706843127754,2018-07-12
"Jul 11, 2018",0.445127,0.452545,0.443574,0.450233,"183,887,008","17,677,248,272","Ripple",-0.005106,-1.14708835905258,2018-07-11
"Jul 10, 2018",0.473855,0.474336,0.443261,0.445042,"230,418,000","17,473,436,922","Ripple",0.028813,6.08055206761563,2018-07-10
"Jul 09, 2018",0.477291,0.480774,0.472653,0.47427,"206,344,992","18,620,999,656","Ripple",0.003021,0.632947195735934,2018-07-09
"Jul 08, 2018",0.492319,0.494895,0.475966,0.477749,"226,644,000","18,757,593,701","Ripple",0.01457,2.95946327482791,2018-07-08
"Jul 07, 2018",0.478617,0.492477,0.467716,0.492477,"214,979,008","19,335,850,987","Ripple",-0.01386,-2.89584364951516,2018-07-07
"Jul 06, 2018",0.480579,0.481473,0.462414,0.479151,"245,003,008","18,812,639,649","Ripple",0.00142799999999998,0.297141572977593,2018-07-06
"Jul 05, 2018",0.490422,0.497402,0.472966,0.481625,"279,999,008","18,909,774,937","Ripple",0.008797,1.79376129129607,2018-07-05
"Jul 04, 2018",0.485584,0.503604,0.475774,0.490043,"313,828,992","19,240,115,961","Ripple",-0.00445899999999999,-0.918275725724075,2018-07-04
